level,5000k F90 3,5000k F90 4,5700k Thrive,5000k F90 1,5000k F90 2,dalid,dalie,dalif,dalig,dalih,espnow,relay1,relay2,r,g,b,power
78,0,0,141,0,0,115,115,115,115,115,115,1,0,10,21,3,5.657496
79,0,0,142,0,0,116,116,116,116,116,116,1,0,10,21,3,5.8140929
80,0,0,144,0,0,118,118,118,118,118,118,1,0,10,21,3,6.1404102
81,0,0,145,0,0,119,119,119,119,119,119,1,0,10,21,3,6.3103738
82,0,0,147,0,0,120,120,120,120,120,120,1,0,10,21,3,6.664545
83,0,0,148,0,0,122,122,122,122,122,122,1,0,10,21,3,6.8490165
84,0,0,150,0,0,123,123,123,123,123,123,1,0,10,21,3,7.2334191
85,0,0,151,0,0,124,124,124,124,124,124,1,0,10,21,3,7.4336367
86,0,0,153,0,0,126,126,126,126,126,126,1,0,10,21,4,7.8508513
87,0,0,154,0,0,127,127,127,127,127,127,1,0,10,21,4,8.0681592
88,0,0,155,0,0,128,128,128,128,128,128,1,0,10,21,4,8.291482
89,0,0,157,0,0,129,129,129,129,129,129,1,0,10,21,4,8.7568433
90,0,0,158,0,0,131,131,131,131,131,131,1,0,10,21,4,8.9992287
91,0,0,160,0,0,132,132,132,132,132,132,1,0,10,20,4,9.5043124
92,0,0,161,0,0,133,133,133,133,133,133,1,0,10,20,4,9.7673873
93,0,0,163,0,0,135,135,135,135,135,135,1,0,10,20,4,10.315584
94,0,0,164,0,0,136,136,136,136,136,136,1,0,10,20,5,10.601115
95,0,0,165,0,0,137,137,137,137,137,137,1,0,10,20,5,10.894549
96,0,0,167,0,0,138,138,138,138,138,138,1,0,10,20,5,11.506008
97,0,0,168,0,0,139,139,139,139,139,139,1,0,10,20,5,11.824488
98,0,0,170,0,0,141,141,141,141,141,141,1,0,10,20,5,12.488141
99,0,0,171,0,0,142,142,142,142,142,142,1,0,10,20,5,12.833806
100,0,0,172,0,0,143,143,143,143,143,143,1,0,10,20,5,13.18904
101,0,0,174,0,0,144,144,144,144,144,144,1,0,10,20,5,13.929278
102,0,0,175,0,0,146,146,146,146,146,146,1,0,10,20,5,14.314834
103,0,0,176,0,0,147,147,147,147,147,147,1,0,10,20,6,14.711062
104,0,0,178,0,0,148,148,148,148,148,148,1,0,10,20,6,15.536723
105,0,0,179,0,0,149,149,149,149,149,149,1,0,10,20,6,15.966773
106,0,0,180,0,0,150,150,150,150,150,150,1,0,10,20,6,16.408726
107,0,0,182,0,0,151,151,151,151,151,151,1,0,10,19,6,17.329669
108,0,0,183,0,0,153,153,153,153,153,153,1,0,10,19,6,17.809346
109,0,0,184,0,0,154,154,154,154,154,154,1,0,10,19,6,18.302301
110,0,0,186,0,0,155,155,155,155,155,155,1,0,10,19,6,19.329521
111,0,0,187,0,0,156,156,156,156,156,156,1,0,10,19,6,19.864553
112,0,0,188,0,0,157,157,157,157,157,157,1,0,10,19,7,20.414395
113,0,0,190,0,0,158,158,158,158,158,158,1,0,10,19,7,21.560157
114,0,0,191,0,0,159,159,159,159,159,159,1,0,10,19,7,22.156932
115,0,0,192,0,0,161,161,161,161,161,161,1,0,10,19,7,22.770226
116,0,0,193,0,0,162,162,162,162,162,162,1,0,10,19,7,23.400495
117,0,0,195,0,0,163,163,163,163,163,163,1,0,10,19,7,24.713853
118,0,0,196,0,0,164,164,164,164,164,164,1,0,10,19,7,25.397921
119,0,0,197,0,0,165,165,165,165,165,165,1,0,10,19,7,26.100924
120,0,0,198,0,0,166,166,166,166,166,166,1,0,9,19,7,26.823385
121,0,0,200,0,0,167,167,167,167,167,167,1,0,9,19,8,28.328854
122,0,0,201,0,0,168,168,168,168,168,168,1,0,9,19,8,29.112983
123,0,0,202,0,0,169,169,169,169,169,169,1,0,9,18,8,29.918817
124,0,0,203,0,0,170,170,170,170,170,170,1,0,9,18,8,30.746956
125,0,0,204,0,0,171,171,171,171,171,171,1,0,9,18,8,31.598017
126,0,0,206,0,0,173,173,173,173,173,173,1,0,9,18,8,33.371463
127,0,0,207,0,0,174,174,174,174,174,174,1,0,9,18,8,34.29517
128,0,0,208,0,0,175,175,175,175,175,175,1,0,9,18,8,35.244444
129,0,0,209,0,0,176,176,176,176,176,176,1,0,9,18,9,36.219994
130,0,0,210,0,0,177,177,177,177,177,177,1,0,9,18,9,37.222546
131,0,0,211,0,0,178,178,178,178,178,178,1,0,9,18,9,38.252849
132,0,0,213,0,0,179,179,179,179,179,179,1,0,9,18,9,40.399799
133,0,0,214,0,0,180,180,180,180,180,180,1,0,9,18,9,41.518046
134,0,0,215,0,0,181,181,181,181,181,181,1,0,9,18,9,42.667246
135,0,0,216,0,0,182,182,182,182,182,182,1,0,9,18,9,43.848256
136,0,0,217,0,0,183,183,183,183,183,183,1,0,9,18,9,45.061955
137,0,0,218,0,0,184,184,184,184,184,184,1,0,9,18,9,46.309249
138,0,0,219,0,0,185,185,185,185,185,185,1,0,9,18,10,47.591067
139,0,0,220,0,0,186,186,186,186,186,186,1,0,9,17,10,48.908366
140,0,0,222,0,0,187,187,187,187,187,187,1,0,9,17,10,51.653359
141,0,0,223,0,0,188,188,188,188,188,188,1,0,9,17,10,53.0831
142,0,0,224,0,0,189,189,189,189,189,189,1,0,9,17,10,54.552415
143,0,0,225,0,0,189,189,189,189,189,189,1,0,9,17,10,56.062401
144,0,0,226,0,0,190,190,190,190,190,190,1,0,9,17,10,57.614182
145,0,0,227,0,0,191,191,191,191,191,191,1,0,9,17,10,59.208915
146,0,0,228,0,0,192,192,192,192,192,192,1,0,9,17,10,60.84779
147,0,0,229,0,0,193,193,193,193,193,193,1,0,9,17,11,62.532029
148,0,0,230,0,0,194,194,194,194,194,194,1,0,9,17,11,64.262886
149,0,0,231,0,0,195,195,195,195,195,195,1,0,9,17,11,66.041653
150,0,0,232,0,0,196,196,196,196,196,196,1,0,9,17,11,67.869655
151,0,0,233,0,0,197,197,197,197,197,197,1,0,9,17,11,69.748256
152,0,0,234,0,0,198,198,198,198,198,198,1,0,9,17,11,71.678855
153,0,0,235,0,0,199,199,199,199,199,199,1,0,9,17,11,73.662892
154,0,0,236,0,0,199,199,199,199,199,199,1,0,9,17,11,75.701846
155,0,0,237,0,0,200,200,200,200,200,200,1,0,9,16,11,77.797238
156,0,0,238,0,0,201,201,201,201,201,201,1,0,9,16,12,79.950629
157,0,0,239,0,0,202,202,202,202,202,202,1,0,9,16,12,82.163626
158,0,0,240,0,0,203,203,203,203,203,203,1,0,9,16,12,84.437876
159,0,0,241,0,0,204,204,204,204,204,204,1,0,9,16,12,86.775077
160,0,0,242,0,0,205,205,205,205,205,205,1,0,9,16,12,89.176971
161,0,0,243,0,0,205,205,205,205,205,205,1,0,9,16,12,91.645348
162,0,0,244,0,0,206,206,206,206,206,206,1,0,9,16,12,94.182049
163,0,0,245,0,0,207,207,207,207,207,207,1,0,9,16,12,96.788964
164,0,0,246,0,0,208,208,208,208,208,208,1,0,9,16,13,99.468037
165,0,0,246,108,0,209,209,209,209,209,209,1,1,9,16,13,100.42338
166,0,0,244,181,0,209,209,209,209,209,209,1,1,9,16,13,101.19293
167,0,0,245,182,0,210,210,210,210,210,210,1,1,9,16,13,103.9939
168,0,0,246,182,0,211,211,211,211,211,211,1,1,9,16,13,106.67298
169,0,0,247,184,0,212,212,212,212,212,212,1,1,9,16,13,109.83059
170,0,0,247,192,0,213,213,213,213,213,213,1,1,9,15,13,111.68816
171,0,0,247,198,0,213,213,213,213,213,213,1,1,8,15,13,113.37329
172,0,0,247,204,0,214,214,214,214,214,214,1,1,8,15,13,115.35838
173,0,0,247,209,0,215,215,215,215,215,215,1,1,8,15,14,117.28
174,0,0,247,214,0,216,216,216,216,216,216,1,1,8,15,14,119.48271
175,0,0,247,218,0,216,216,216,216,216,216,1,1,8,15,14,121.47469
176,0,0,247,221,0,217,217,217,217,217,217,1,1,8,15,14,123.11813
177,0,0,247,225,0,218,218,218,218,218,218,1,1,8,15,14,125.52963
178,0,0,247,228,0,219,219,219,219,219,219,1,1,8,15,14,127.5192
179,0,0,247,231,0,219,219,219,219,219,219,1,1,8,15,14,129.67858
180,0,0,247,234,0,220,220,220,220,220,220,1,1,8,15,14,132.02229
181,0,0,247,236,0,221,221,221,221,221,221,1,1,8,15,14,133.69488
182,0,0,247,238,40,221,221,221,221,221,221,1,1,9,15,14,135.61057
183,0,0,247,232,185,222,222,222,222,222,222,1,1,9,14,14,138.25853
184,0,0,247,229,201,223,223,223,223,223,223,1,1,10,14,14,140.32337
185,0,0,247,227,211,223,223,223,223,223,223,1,1,10,14,14,142.74173
186,0,0,247,225,218,224,224,224,224,224,224,1,1,11,14,14,144.78305
187,0,0,247,224,224,225,225,225,225,225,225,1,1,11,13,14,147.58243
188,0,0,247,226,226,225,225,225,225,225,225,1,1,11,13,14,150.12833
189,0,0,247,227,227,226,226,226,226,226,226,1,1,12,13,14,151.45438
190,0,0,247,229,229,227,227,227,227,227,227,1,1,12,13,14,154.2176
191,0,0,247,231,231,227,227,227,227,227,227,1,1,13,13,14,157.1359
192,0,0,247,232,232,228,228,228,228,228,228,1,1,13,12,14,158.65591
193,0,0,247,234,234,229,229,229,229,229,229,1,1,14,12,14,161.82332
194,0,0,247,235,235,229,229,229,229,229,229,1,1,14,12,14,163.47308
195,0,0,247,237,237,230,230,230,230,230,230,1,1,15,12,14,166.91085
196,0,0,247,238,238,230,230,230,230,230,230,1,1,15,11,14,168.70143
197,0,0,247,239,239,231,231,231,231,231,231,1,1,16,11,14,170.54157
198,181,0,247,237,237,232,232,232,232,232,232,1,1,16,11,14,173.92173
199,204,0,247,235,235,232,232,232,232,232,232,1,1,16,11,14,176.61019
200,217,0,247,233,233,233,233,233,233,233,233,1,1,17,11,14,178.95285
