level,F90s,S90,5000k Thrive,dalib,dalic,dalid,dalie,dalif,dalig,dalih,espnow,relay1,relay2,r,g,b,power
78,0,0,161,115,115,115,115,115,115,115,115,1,0,10,21,3,1.562782
79,0,0,163,116,116,116,116,116,116,116,116,1,0,10,21,3,1.6504935
80,0,0,165,118,118,118,118,118,118,118,118,1,0,10,21,3,1.7431278
81,0,0,166,119,119,119,119,119,119,119,119,1,0,10,21,3,1.7913767
82,0,0,168,120,120,120,120,120,120,120,120,1,0,10,21,3,1.8919182
83,0,0,170,122,122,122,122,122,122,122,122,1,0,10,21,3,1.9981025
84,0,0,171,123,123,123,123,123,123,123,123,1,0,10,21,3,2.053409
85,0,0,173,124,124,124,124,124,124,124,124,1,0,10,21,3,2.1686571
86,0,0,175,126,126,126,126,126,126,126,126,1,0,10,21,4,2.2903734
87,0,0,176,127,127,127,127,127,127,127,127,1,0,10,21,4,2.3537699
88,0,0,178,128,128,128,128,128,128,128,128,1,0,10,21,4,2.4858758
89,0,0,179,129,129,129,129,129,129,129,129,1,0,10,21,4,2.5546836
90,0,0,181,131,131,131,131,131,131,131,131,1,0,10,21,4,2.6980658
91,0,0,183,132,132,132,132,132,132,132,132,1,0,10,20,4,2.8494954
92,0,0,184,133,133,133,133,133,133,133,133,1,0,10,20,4,2.9283681
93,0,0,186,135,135,135,135,135,135,135,135,1,0,10,20,4,3.0927234
94,0,0,187,136,136,136,136,136,136,136,136,1,0,10,20,5,3.1783285
95,0,0,189,137,137,137,137,137,137,137,137,1,0,10,20,5,3.3567129
96,0,0,190,138,138,138,138,138,138,138,138,1,0,10,20,5,3.4496252
97,0,0,192,139,139,139,139,139,139,139,139,1,0,10,20,5,3.6432362
98,0,0,193,141,141,141,141,141,141,141,141,1,0,10,20,5,3.7440792
99,0,0,195,142,142,142,142,142,142,142,142,1,0,10,20,5,3.9542165
100,0,0,196,143,143,143,143,143,143,143,143,1,0,10,20,5,4.0636674
101,0,0,198,144,144,144,144,144,144,144,144,1,0,10,20,5,4.2917416
102,0,0,199,146,146,146,146,146,146,146,146,1,0,10,20,5,4.410535
103,0,0,201,147,147,147,147,147,147,147,147,1,0,10,20,6,4.6580773
104,0,0,202,148,148,148,148,148,148,148,148,1,0,10,20,6,4.7870107
105,0,0,204,149,149,149,149,149,149,149,149,1,0,10,20,6,5.0556828
106,0,0,205,150,150,150,150,150,150,150,150,1,0,10,20,6,5.1956217
107,0,0,207,151,151,151,151,151,151,151,151,1,0,10,19,6,5.4872271
108,0,0,208,153,153,153,153,153,153,153,153,1,0,10,19,6,5.639111
109,0,0,210,154,154,154,154,154,154,154,154,1,0,10,19,6,5.9556074
110,0,0,211,155,155,155,155,155,155,155,155,1,0,10,19,6,6.1204558
111,0,0,213,156,156,156,156,156,156,156,156,1,0,10,19,6,6.4639678
112,0,0,214,157,157,157,157,157,157,157,157,1,0,10,19,7,6.6428874
113,0,0,215,158,158,158,158,158,158,158,158,1,0,10,19,7,6.8267594
114,0,0,217,159,159,159,159,159,159,159,159,1,0,10,19,7,7.2099128
115,0,0,218,161,161,161,161,161,161,161,161,1,0,10,19,7,7.4094798
116,0,0,220,162,162,162,162,162,162,162,162,1,0,10,19,7,7.8253385
117,0,0,221,163,163,163,163,163,163,163,163,1,0,10,19,7,8.0419403
118,0,0,222,164,164,164,164,164,164,164,164,1,0,10,19,7,8.2645374
119,0,0,224,165,165,165,165,165,165,165,165,1,0,10,19,7,8.7283864
120,0,0,225,166,166,166,166,166,166,166,166,1,0,9,19,7,8.9699841
121,0,0,226,167,167,167,167,167,167,167,167,1,0,9,19,8,9.2182691
122,0,0,228,168,168,168,168,168,168,168,168,1,0,9,19,8,9.7356465
123,0,0,229,169,169,169,169,169,169,169,169,1,0,9,18,8,10.005125
124,0,0,230,170,170,170,170,170,170,170,170,1,0,9,18,8,10.282062
125,0,0,232,171,171,171,171,171,171,171,171,1,0,9,18,8,10.859145
126,0,0,233,173,173,173,173,173,173,173,173,1,0,9,18,8,11.159721
127,0,0,234,174,174,174,174,174,174,174,174,1,0,9,18,8,11.468617
128,0,0,236,175,175,175,175,175,175,175,175,1,0,9,18,8,12.112295
129,0,0,237,176,176,176,176,176,176,176,176,1,0,9,18,9,12.447558
130,0,0,238,177,177,177,177,177,177,177,177,1,0,9,18,9,12.792101
131,0,0,240,178,178,178,178,178,178,178,178,1,0,9,18,9,13.51006
132,0,0,241,179,179,179,179,179,179,179,179,1,0,9,18,9,13.884012
133,0,0,242,180,180,180,180,180,180,180,180,1,0,9,18,9,14.268315
134,0,0,243,181,181,181,181,181,181,181,181,1,0,9,18,9,14.663256
135,0,0,244,182,182,182,182,182,182,182,182,1,0,9,18,9,15.069128
136,0,0,245,183,183,183,183,183,183,183,183,1,0,9,18,9,15.486234
137,0,0,246,184,184,184,184,184,184,184,184,1,0,9,18,9,15.914886
138,0,0,247,185,185,185,185,185,185,185,185,1,0,9,18,10,16.355403
139,0,0,248,186,186,186,186,186,186,186,186,1,0,9,17,10,16.808112
140,160,0,228,187,187,187,187,187,187,187,187,1,1,9,17,10,15.756964
141,162,0,229,188,188,188,188,188,188,188,188,1,1,9,17,10,16.36439
142,163,0,229,189,189,189,189,189,189,189,189,1,1,9,17,10,16.540412
143,165,0,230,189,189,189,189,189,189,189,189,1,1,9,17,10,17.184143
144,166,0,231,190,190,190,190,190,190,190,190,1,1,9,17,10,17.659793
145,168,0,232,191,191,191,191,191,191,191,191,1,1,9,17,10,18.350376
146,170,0,232,192,192,192,192,192,192,192,192,1,1,9,17,10,18.770823
147,171,0,232,193,193,193,193,193,193,193,193,1,1,9,17,11,18.989815
148,173,0,233,194,194,194,194,194,194,194,194,1,1,9,17,11,19.746727
149,175,0,234,195,195,195,195,195,195,195,195,1,1,9,17,11,20.53757
150,177,0,235,196,196,196,196,196,196,196,196,1,1,9,17,11,21.364013
151,178,0,235,197,197,197,197,197,197,197,197,1,1,9,17,11,21.629126
152,179,0,236,198,198,198,198,198,198,198,198,1,1,9,17,11,22.22781
153,181,0,236,199,199,199,199,199,199,199,199,1,1,9,17,11,22.795546
154,183,0,237,199,199,199,199,199,199,199,199,1,1,9,17,11,23.730409
155,184,0,237,200,200,200,200,200,200,200,200,1,1,9,16,11,24.042713
156,186,0,238,201,201,201,201,201,201,201,201,1,1,9,16,12,25.038036
157,188,0,238,202,202,202,202,202,202,202,202,1,1,9,16,12,25.725342
158,188,0,238,203,203,203,203,203,203,203,203,1,1,9,16,12,25.725342
159,190,0,239,204,204,204,204,204,204,204,204,1,1,9,16,12,26.805302
160,192,0,239,205,205,205,205,205,205,205,205,1,1,9,16,12,27.571923
161,194,0,240,205,205,205,205,205,205,205,205,1,1,9,16,12,28.745451
162,195,0,240,206,206,206,206,206,206,206,206,1,1,9,16,12,29.16716
163,196,0,239,207,207,207,207,207,207,207,207,1,1,9,16,12,29.236661
164,198,0,239,208,208,208,208,208,208,208,208,1,1,9,16,13,30.139743
165,200,0,238,209,209,209,209,209,209,209,209,1,1,9,16,13,30.739431
166,203,0,238,209,209,209,209,209,209,209,209,1,1,9,16,13,32.271384
167,204,0,238,210,210,210,210,210,210,210,210,1,1,9,16,13,32.810562
168,206,0,237,211,211,211,211,211,211,211,211,1,1,9,16,13,33.58956
169,208,0,236,212,212,212,212,212,212,212,212,1,1,9,16,13,34.440897
170,210,0,234,213,213,213,213,213,213,213,213,1,1,9,15,13,35.050416
171,211,0,232,213,213,213,213,213,213,213,213,1,1,8,15,13,35.093677
172,214,0,230,214,214,214,214,214,214,214,214,1,1,8,15,13,36.585212
173,216,0,227,215,215,215,215,215,215,215,215,1,1,8,15,14,37.252847
174,217,0,224,216,216,216,216,216,216,216,216,1,1,8,15,14,37.276728
175,219,0,220,216,216,216,216,216,216,216,216,1,1,8,15,14,37.975962
176,220,0,216,217,217,217,217,217,217,217,217,1,1,8,15,14,38.0009
177,223,0,212,218,218,218,218,218,218,218,218,1,1,8,15,14,39.919888
178,224,0,207,219,219,219,219,219,219,219,219,1,1,8,15,14,40.048111
179,226,0,200,219,219,219,219,219,219,219,219,1,1,8,15,14,41.033238
180,227,0,192,220,220,220,220,220,220,220,220,1,1,8,15,14,41.154177
181,229,0,183,221,221,221,221,221,221,221,221,1,1,8,15,14,42.465746
182,230,0,168,221,221,221,221,221,221,221,221,1,1,9,15,14,42.604729
183,232,0,142,222,222,222,222,222,222,222,222,1,1,9,14,14,43.928081
184,234,0,0,223,223,223,223,223,223,223,223,0,1,10,14,14,45.411089
185,234,0,0,223,223,223,223,223,223,223,223,0,1,10,14,14,45.411089
186,235,0,0,224,224,224,224,224,224,224,224,0,1,11,14,14,46.668046
187,236,0,0,225,225,225,225,225,225,225,225,0,1,11,13,14,47.959796
188,237,0,0,225,225,225,225,225,225,225,225,0,1,11,13,14,49.287301
189,238,0,0,226,226,226,226,226,226,226,226,0,1,12,13,14,50.65155
190,238,0,0,227,227,227,227,227,227,227,227,0,1,12,13,14,50.65155
191,239,0,0,227,227,227,227,227,227,227,227,0,1,13,13,14,52.053562
